recipe_id,name,meat,cut,style_region,method,pit_temp_f,internal_temp_goal_f,estimated_time_hours,wood,rub,wrap,rest,spritz_mop,notes,created_at,updated_at
SMK-BRK-001,Texas-Style Smoked Brisket,beef brisket,packer brisket,Texas,smoke,250,203,12.0,oak,kosher salt + coarse black pepper (50/50),butcher paper at stall (~165F),2–4 hours in warm hold,optional: water or diluted apple cider vinegar,"Focus on clean smoke, steady pit, and long rest. Trim hard fat; optional tallow in paper wrap.",2026-02-03T08:06:12,2026-02-03T08:06:41
SMK-RIB-001,St. Louis Ribs (2-2-1-ish),pork ribs,St. Louis spare ribs,Backyard,smoke,250,198,6.0,hickory,brown sugar + paprika + salt + pepper + garlic,foil wrap ~2 hours with a bit of butter/brown sugar,15–30 minutes,apple juice,Times vary—use feel tests over the clock.,2026-02-03T08:06:12,2026-02-03T08:06:12
SMK-PPK-001,Pulled Pork Shoulder (No-Wrap Option),pork,bone-in pork shoulder (butt),Carolinas-inspired,smoke,275,203,9.0,apple,salt + pepper + paprika + cayenne + brown sugar,optional: foil at stall,1–2 hours,apple cider vinegar + water (1:1),Finish with vinegar sauce for tangy pulled pork.,2026-02-03T08:06:12,2026-02-03T08:06:12
SMK-CHK-001,Smoked Spatchcock Chicken (Crispier Skin),chicken,whole chicken (spatchcock),Backyard,smoke + hot finish,300,165,1.5,cherry,salt + pepper + garlic + smoked paprika,none,10 minutes,none,Higher pit temp helps skin render; verify breast and thigh temps.,2026-02-03T08:06:12,2026-02-03T08:06:12
SMK-TRK-001,Smoked Turkey Breast (Brine + Gentle Smoke),turkey,turkey breast,Holiday,smoke,275,160,3.0,maple,salt + pepper + herbs,none,15–30 minutes,butter baste,Pull ~160F; carryover brings it up. Don’t over-smoke turkey.,2026-02-03T08:06:12,2026-02-03T08:06:12
SMK-SLM-001,Hot-Smoked Salmon (Glaze Finish),salmon,salmon fillet,Pacific Northwest,smoke,225,135,1.5,alder,salt + brown sugar (light cure) + pepper,none,5 minutes,optional: maple/soy glaze near end,Form a pellicle (air-dry) for better smoke adhesion.,2026-02-03T08:06:12,2026-02-03T08:06:12
SMK-SAS-001,Smoked Sausage Links (Easy Crowd-Pleaser),sausage,links,BBQ staple,smoke,250,155,1.0,pecan,none or light pepper,none,5 minutes,none,Don’t overcook—fat can render out and dry them.,2026-02-03T08:06:12,2026-02-03T08:06:12
BBQ-TTP-001,Santa Maria Tri-Tip (Reverse Sear),beef,tri-tip,California,smoke + sear,225,130,1.5,red oak,salt + pepper + garlic,none,10 minutes,none,"Smoke to 125–130F, then sear hot. Slice against the grain (it changes direction).",2026-02-03T08:06:12,2026-02-03T08:06:12
SMK-LMB-001,Smoked Lamb Shoulder (Herby + Rich),lamb,shoulder,Mediterranean-inspired,smoke,275,203,7.0,oak,salt + pepper + rosemary + garlic + lemon zest,optional at stall,1 hour,lemon water,Pairs well with yogurt sauce or chimichurri.,2026-02-03T08:06:12,2026-02-03T08:06:12
SMK-DCK-001,Smoked Duck (Crisp Skin Strategy),duck,whole duck,Modern BBQ,smoke + hot finish,275,165,2.5,cherry,salt + five-spice (light) + pepper,none,10 minutes,none,"Score skin, render fat; finish hot for bite-through skin.",2026-02-03T08:06:12,2026-02-03T08:06:12
