revision_id,recipe_id,editor,change_summary,payload_json,created_at
1,SMK-BRK-001,seed,seed recipe,"{""recipe_id"": ""SMK-BRK-001"", ""name"": ""Texas-Style Smoked Brisket"", ""meat"": ""beef brisket"", ""cut"": ""packer brisket"", ""style_region"": ""Texas"", ""method"": ""smoke"", ""pit_temp_f"": 250, ""internal_temp_goal_f"": 203, ""estimated_time_hours"": 12.0, ""wood"": ""oak"", ""rub"": ""kosher salt + coarse black pepper (50/50)"", ""wrap"": ""butcher paper at stall (~165F)"", ""rest"": ""2–4 hours in warm hold"", ""spritz_mop"": ""optional: water or diluted apple cider vinegar"", ""notes"": ""Focus on clean smoke, steady pit, and long rest.""}",2026-02-03T08:06:12
2,SMK-RIB-001,seed,seed recipe,"{""recipe_id"": ""SMK-RIB-001"", ""name"": ""St. Louis Ribs (2-2-1-ish)"", ""meat"": ""pork ribs"", ""cut"": ""St. Louis spare ribs"", ""style_region"": ""Backyard"", ""method"": ""smoke"", ""pit_temp_f"": 250, ""internal_temp_goal_f"": 198, ""estimated_time_hours"": 6.0, ""wood"": ""hickory"", ""rub"": ""brown sugar + paprika + salt + pepper + garlic"", ""wrap"": ""foil wrap ~2 hours with a bit of butter/brown sugar"", ""rest"": ""15–30 minutes"", ""spritz_mop"": ""apple juice"", ""notes"": ""Times vary—use feel tests over the clock.""}",2026-02-03T08:06:12
3,SMK-PPK-001,seed,seed recipe,"{""recipe_id"": ""SMK-PPK-001"", ""name"": ""Pulled Pork Shoulder (No-Wrap Option)"", ""meat"": ""pork"", ""cut"": ""bone-in pork shoulder (butt)"", ""style_region"": ""Carolinas-inspired"", ""method"": ""smoke"", ""pit_temp_f"": 275, ""internal_temp_goal_f"": 203, ""estimated_time_hours"": 9.0, ""wood"": ""apple"", ""rub"": ""salt + pepper + paprika + cayenne + brown sugar"", ""wrap"": ""optional: foil at stall"", ""rest"": ""1–2 hours"", ""spritz_mop"": ""apple cider vinegar + water (1:1)"", ""notes"": ""Finish with vinegar sauce for tangy pulled pork.""}",2026-02-03T08:06:12
4,SMK-CHK-001,seed,seed recipe,"{""recipe_id"": ""SMK-CHK-001"", ""name"": ""Smoked Spatchcock Chicken (Crispier Skin)"", ""meat"": ""chicken"", ""cut"": ""whole chicken (spatchcock)"", ""style_region"": ""Backyard"", ""method"": ""smoke + hot finish"", ""pit_temp_f"": 300, ""internal_temp_goal_f"": 165, ""estimated_time_hours"": 1.5, ""wood"": ""cherry"", ""rub"": ""salt + pepper + garlic + smoked paprika"", ""wrap"": ""none"", ""rest"": ""10 minutes"", ""spritz_mop"": ""none"", ""notes"": ""Higher pit temp helps skin render; verify breast and thigh temps.""}",2026-02-03T08:06:12
5,SMK-TRK-001,seed,seed recipe,"{""recipe_id"": ""SMK-TRK-001"", ""name"": ""Smoked Turkey Breast (Brine + Gentle Smoke)"", ""meat"": ""turkey"", ""cut"": ""turkey breast"", ""style_region"": ""Holiday"", ""method"": ""smoke"", ""pit_temp_f"": 275, ""internal_temp_goal_f"": 160, ""estimated_time_hours"": 3.0, ""wood"": ""maple"", ""rub"": ""salt + pepper + herbs"", ""wrap"": ""none"", ""rest"": ""15–30 minutes"", ""spritz_mop"": ""butter baste"", ""notes"": ""Pull ~160F; carryover brings it up. Don’t over-smoke turkey.""}",2026-02-03T08:06:12
6,SMK-SLM-001,seed,seed recipe,"{""recipe_id"": ""SMK-SLM-001"", ""name"": ""Hot-Smoked Salmon (Glaze Finish)"", ""meat"": ""salmon"", ""cut"": ""salmon fillet"", ""style_region"": ""Pacific Northwest"", ""method"": ""smoke"", ""pit_temp_f"": 225, ""internal_temp_goal_f"": 135, ""estimated_time_hours"": 1.5, ""wood"": ""alder"", ""rub"": ""salt + brown sugar (light cure) + pepper"", ""wrap"": ""none"", ""rest"": ""5 minutes"", ""spritz_mop"": ""optional: maple/soy glaze near end"", ""notes"": ""Form a pellicle (air-dry) for better smoke adhesion.""}",2026-02-03T08:06:12
7,SMK-SAS-001,seed,seed recipe,"{""recipe_id"": ""SMK-SAS-001"", ""name"": ""Smoked Sausage Links (Easy Crowd-Pleaser)"", ""meat"": ""sausage"", ""cut"": ""links"", ""style_region"": ""BBQ staple"", ""method"": ""smoke"", ""pit_temp_f"": 250, ""internal_temp_goal_f"": 155, ""estimated_time_hours"": 1.0, ""wood"": ""pecan"", ""rub"": ""none or light pepper"", ""wrap"": ""none"", ""rest"": ""5 minutes"", ""spritz_mop"": ""none"", ""notes"": ""Don’t overcook—fat can render out and dry them.""}",2026-02-03T08:06:12
8,BBQ-TTP-001,seed,seed recipe,"{""recipe_id"": ""BBQ-TTP-001"", ""name"": ""Santa Maria Tri-Tip (Reverse Sear)"", ""meat"": ""beef"", ""cut"": ""tri-tip"", ""style_region"": ""California"", ""method"": ""smoke + sear"", ""pit_temp_f"": 225, ""internal_temp_goal_f"": 130, ""estimated_time_hours"": 1.5, ""wood"": ""red oak"", ""rub"": ""salt + pepper + garlic"", ""wrap"": ""none"", ""rest"": ""10 minutes"", ""spritz_mop"": ""none"", ""notes"": ""Smoke to 125–130F, then sear hot. Slice against the grain (it changes direction).""}",2026-02-03T08:06:12
9,SMK-LMB-001,seed,seed recipe,"{""recipe_id"": ""SMK-LMB-001"", ""name"": ""Smoked Lamb Shoulder (Herby + Rich)"", ""meat"": ""lamb"", ""cut"": ""shoulder"", ""style_region"": ""Mediterranean-inspired"", ""method"": ""smoke"", ""pit_temp_f"": 275, ""internal_temp_goal_f"": 203, ""estimated_time_hours"": 7.0, ""wood"": ""oak"", ""rub"": ""salt + pepper + rosemary + garlic + lemon zest"", ""wrap"": ""optional at stall"", ""rest"": ""1 hour"", ""spritz_mop"": ""lemon water"", ""notes"": ""Pairs well with yogurt sauce or chimichurri.""}",2026-02-03T08:06:12
10,SMK-DCK-001,seed,seed recipe,"{""recipe_id"": ""SMK-DCK-001"", ""name"": ""Smoked Duck (Crisp Skin Strategy)"", ""meat"": ""duck"", ""cut"": ""whole duck"", ""style_region"": ""Modern BBQ"", ""method"": ""smoke + hot finish"", ""pit_temp_f"": 275, ""internal_temp_goal_f"": 165, ""estimated_time_hours"": 2.5, ""wood"": ""cherry"", ""rub"": ""salt + five-spice (light) + pepper"", ""wrap"": ""none"", ""rest"": ""10 minutes"", ""spritz_mop"": ""none"", ""notes"": ""Score skin, render fat; finish hot for bite-through skin.""}",2026-02-03T08:06:12
11,SMK-BRK-001,alex,Added note about trimming and tallow,"{""recipe_id"": ""SMK-BRK-001"", ""name"": ""Texas-Style Smoked Brisket"", ""meat"": ""beef brisket"", ""cut"": ""packer brisket"", ""style_region"": ""Texas"", ""method"": ""smoke"", ""pit_temp_f"": 250, ""internal_temp_goal_f"": 203, ""estimated_time_hours"": 12.0, ""wood"": ""oak"", ""rub"": ""kosher salt + coarse black pepper (50/50)"", ""wrap"": ""butcher paper at stall (~165F)"", ""rest"": ""2–4 hours in warm hold"", ""spritz_mop"": ""optional: water or diluted apple cider vinegar"", ""notes"": ""Focus on clean smoke, steady pit, and long rest. Trim hard fat; optional tallow in paper wrap.""}",2026-02-03T08:06:41
